,country,year,gdp,electricity_demand,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity
1665,Australia,2012,1064.162361344,250.66,250.66,3.1,165.38,220.39,49.81,17.04,30.27,0.0,5.2,30.27,2.41,7.72
1666,Australia,2013,1087.11018496,249.56,249.56,3.33,155.45,214.03,52.72,19.09,35.53,0.0,5.86,35.53,3.85,9.26
1667,Australia,2014,1117.472423936,247.65,247.65,3.55,155.23,214.89,53.66,14.48,32.76,0.0,6.0,32.76,4.95,9.78
1668,Australia,2015,1145.386827776,253.99,253.99,3.68,162.2,218.19,49.71,14.09,35.8,0.0,6.28,35.8,6.2,11.83
1669,Australia,2016,1176.48130048,258.23,258.23,3.63,162.36,216.49,48.11,17.63,41.74,0.0,6.02,41.74,7.44,13.04
1670,Australia,2017,1205.343092736,258.97,258.97,3.56,159.17,219.78,55.09,13.5,39.19,0.0,5.52,39.19,8.92,13.21
1671,Australia,2018,1238.55962112,262.63,262.63,3.59,156.56,213.14,51.46,17.31,49.49,0.0,5.12,49.49,12.33,16.26
1808,Austria,1990,207.979118592,48.84,49.3,1.13,6.19,16.66,7.72,31.51,32.64,0.0,2.75,32.64,0.0,0.0
1809,Austria,1991,215.99256576,50.95,50.18,1.21,6.84,17.53,7.47,31.44,32.65,0.0,3.22,32.65,0.0,0.0
1810,Austria,1992,221.40084224,50.5,49.95,1.31,4.11,13.79,6.64,34.85,36.16,0.0,3.04,36.16,0.0,0.0
1811,Austria,1993,223.463030784,50.64,51.37,1.34,2.98,13.32,6.79,36.71,38.05,0.0,3.55,38.05,0.0,0.0
1812,Austria,1994,229.749260288,51.29,52.11,1.19,3.1,15.21,8.64,35.71,36.9,0.0,3.47,36.9,0.0,0.0
1813,Austria,1995,236.824444928,52.71,55.18,1.84,4.32,16.27,8.91,37.07,38.91,0.0,3.04,38.91,0.0,0.0
1814,Austria,1996,243.480772608,54.52,53.57,1.57,5.28,17.78,9.4,34.22,35.79,0.0,3.1,35.79,0.0,0.0
1815,Austria,1997,249.847267328,54.91,55.68,1.69,5.83,17.86,8.47,36.11,37.82,0.0,3.56,37.82,0.0,0.02
1816,Austria,1998,259.77626624,55.76,55.92,1.82,4.13,16.89,8.87,37.16,39.03,0.0,3.89,39.03,0.0,0.05
1817,Austria,1999,270.186299392,58.02,59.92,1.6,4.42,17.57,9.29,40.7,42.35,0.0,3.86,42.35,0.0,0.05
1818,Austria,2000,280.410161152,58.48,59.85,1.53,5.72,16.41,7.85,41.84,43.44,0.0,2.84,43.44,0.0,0.07
1819,Austria,2001,285.335945216,61.28,61.06,1.67,6.89,18.82,8.75,40.46,42.24,0.0,3.18,42.24,0.01,0.1
1820,Austria,2002,291.225468928,61.39,60.69,1.52,6.61,18.79,9.31,40.23,41.9,0.0,2.87,41.9,0.01,0.14
1821,Austria,2003,294.604374016,63.67,58.06,1.65,8.44,22.82,11.16,33.21,35.24,0.0,3.22,35.24,0.01,0.37
1822,Austria,2004,303.786426368,65.01,61.93,1.91,7.91,22.31,10.95,36.76,39.62,0.0,3.45,39.62,0.02,0.93
1823,Austria,2005,311.537598464,67.11,64.49,2.43,7.17,23.61,13.03,37.1,40.88,0.0,3.41,40.88,0.02,1.33
1824,Austria,2006,323.263922176,68.62,62.28,3.23,7.37,21.62,10.67,35.66,40.66,0.0,3.58,40.66,0.02,1.75
1825,Austria,2007,336.315973632,68.93,62.91,4.06,6.6,19.74,9.9,37.05,43.17,0.0,3.24,43.17,0.02,2.04
1826,Austria,2008,342.8909056,69.36,64.5,4.16,5.53,19.97,11.18,38.33,44.53,0.0,3.26,44.53,0.03,2.01
1827,Austria,2009,331.19223808,67.08,66.3,4.28,3.76,19.12,12.34,40.9,47.18,0.0,3.02,47.18,0.05,1.95
1828,Austria,2010,338.927091712,70.35,67.91,4.48,4.92,22.92,14.35,38.36,44.99,0.0,3.65,44.99,0.09,2.06
1829,Austria,2011,349.84312832,70.46,62.26,4.56,5.43,21.35,12.44,34.24,40.91,0.0,3.48,40.91,0.17,1.94
1830,Austria,2012,352.450904064,71.5,68.7,4.68,4.39,17.37,9.71,43.85,51.33,0.0,3.27,51.33,0.34,2.46
1831,Austria,2013,352.913752064,71.86,64.59,4.7,4.21,14.09,6.65,42.02,50.5,0.0,3.23,50.5,0.63,3.15
1832,Austria,2014,355.364634624,70.89,61.62,4.55,2.94,11.42,5.32,41.01,50.2,0.0,3.16,50.2,0.79,3.85
1833,Austria,2015,358.988120064,71.91,61.85,4.65,2.95,14.26,7.66,37.16,47.59,0.0,3.65,47.59,0.94,4.84
1834,Austria,2016,364.21828608,72.41,65.25,4.78,2.04,14.17,8.49,39.97,51.08,0.0,3.64,51.08,1.1,5.23
1835,Austria,2017,373.237972992,73.97,67.42,4.92,1.76,16.37,10.91,38.29,51.05,0.0,3.7,51.05,1.27,6.57
1836,Austria,2018,382.269456384,73.99,65.04,4.93,1.81,14.98,9.92,37.64,50.06,0.0,3.25,50.06,1.46,6.03
2149,Bangladesh,2000,200.83032064,14.88,14.88,0.0,0.0,13.94,12.81,0.94,0.94,0.0,1.13,0.94,0.0,0.0
2150,Bangladesh,2001,213.17812224,16.39,16.39,0.0,0.0,15.41,14.25,0.98,0.98,0.0,1.16,0.98,0.0,0.0
2151,Bangladesh,2002,226.307964928,17.59,17.59,0.0,0.0,16.54,15.06,1.05,1.05,0.0,1.48,1.05,0.0,0.0
2152,Bangladesh,2003,242.360090624,18.59,18.59,0.0,0.0,17.47,15.93,1.12,1.12,0.0,1.54,1.12,0.0,0.0
2153,Bangladesh,2004,260.420370432,23.26,23.26,0.0,0.0,22.05,20.27,1.21,1.21,0.0,1.78,1.21,0.0,0.0
2154,Bangladesh,2005,280.32712704,25.43,25.43,0.0,0.0,24.15,22.38,1.28,1.28,0.0,1.77,1.28,0.0,0.0
2155,Bangladesh,2006,303.33534208,29.26,29.26,0.0,1.08,27.87,24.76,1.38,1.39,0.0,2.03,1.39,0.01,0.0
2156,Bangladesh,2007,327.171244032,29.2,29.2,0.0,1.07,28.44,25.35,0.74,0.76,0.0,2.02,0.76,0.02,0.0
2157,Bangladesh,2008,349.580427264,32.33,32.33,0.0,0.96,31.37,29.08,0.94,0.96,0.0,1.33,0.96,0.02,0.0
2158,Bangladesh,2009,372.8351232,35.07,35.07,0.0,0.82,34.6,32.42,0.44,0.47,0.0,1.36,0.47,0.03,0.0
2159,Bangladesh,2010,400.257024,38.49,38.49,0.0,0.73,37.66,34.33,0.76,0.83,0.0,2.6,0.83,0.07,0.0
2160,Bangladesh,2011,431.620194304,41.66,41.66,0.0,0.81,40.68,35.16,0.92,0.98,0.0,4.71,0.98,0.06,0.0
2161,Bangladesh,2012,458.682957824,45.83,45.83,0.0,1.01,44.92,37.97,0.82,0.91,0.0,5.94,0.91,0.09,0.0
2162,Bangladesh,2013,486.328205312,50.03,50.03,0.0,1.14,48.96,40.53,0.94,1.07,0.0,7.29,1.07,0.13,0.0
2163,Bangladesh,2014,517.114527744,54.85,52.58,0.0,1.08,51.8,41.53,0.62,0.78,0.0,9.19,0.78,0.16,0.0
2164,Bangladesh,2015,552.394686464,58.97,55.59,0.0,0.95,54.79,43.26,0.59,0.8,0.0,10.58,0.8,0.2,0.01
2165,Bangladesh,2016,591.216050176,68.66,64.84,0.0,1.01,63.6,49.94,1.01,1.24,0.0,12.65,1.24,0.22,0.01
2166,Bangladesh,2017,636.054798336,73.56,68.9,0.0,1.41,67.61,51.59,1.03,1.29,0.0,14.61,1.29,0.25,0.01
2167,Bangladesh,2018,686.521778176,78.74,73.96,0.0,1.48,72.59,56.48,1.08,1.37,0.0,14.63,1.37,0.28,0.01
2427,Belgium,1990,273.27873024,66.57,70.29,0.28,17.09,27.01,5.41,0.27,43.28,42.72,4.51,0.56,0.0,0.01
2428,Belgium,1991,278.661955584,69.34,71.19,0.3,16.51,27.79,6.22,0.23,43.4,42.86,5.06,0.54,0.0,0.01
2429,Belgium,1992,283.324055552,71.55,71.42,0.27,16.01,27.34,6.67,0.34,44.08,43.46,4.66,0.62,0.0,0.01
2430,Belgium,1993,280.980160512,72.31,70.08,0.25,16.3,27.64,6.81,0.25,42.44,41.93,4.53,0.51,0.0,0.01
2431,Belgium,1994,290.43982336,75.32,71.34,0.25,16.98,30.11,8.27,0.35,41.23,40.62,4.86,0.61,0.0,0.01
2432,Belgium,1995,297.776709632,77.59,73.52,0.32,16.52,31.49,10.18,0.34,42.03,41.36,4.79,0.67,0.0,0.01
2433,Belgium,1996,302.93262336,79.33,75.14,0.31,15.55,31.24,11.01,0.24,43.9,43.34,4.68,0.56,0.0,0.01
2434,Belgium,1997,314.603208704,81.15,77.88,0.28,13.75,29.87,11.54,0.31,48.01,47.41,4.58,0.6,0.0,0.01
2435,Belgium,1998,321.260519424,83.48,82.09,0.36,14.19,35.16,15.04,0.39,46.93,46.17,5.93,0.76,0.0,0.01
2436,Belgium,1999,333.156122624,84.22,83.37,0.5,9.94,33.5,19.23,0.34,49.87,49.02,4.33,0.85,0.0,0.01
2437,Belgium,2000,345.736773632,87.12,82.79,0.57,12.92,33.58,15.98,0.46,49.21,48.16,4.68,1.05,0.0,0.02
2438,Belgium,2001,349.022420992,87.74,78.63,0.6,9.94,31.2,15.78,0.44,47.43,46.35,5.48,1.08,0.0,0.04
2439,Belgium,2002,355.720200192,88.53,80.94,0.72,10.03,32.44,17.87,0.36,48.5,47.36,4.54,1.14,0.0,0.06
2440,Belgium,2003,358.964166656,89.98,83.57,0.86,9.64,34.99,21.61,0.25,48.58,47.38,3.74,1.2,0.0,0.09
2441,Belgium,2004,372.52726784,90.7,82.92,1.04,9.15,34.11,20.04,0.32,48.81,47.31,4.92,1.5,0.0,0.14
2442,Belgium,2005,380.849782784,90.4,84.1,1.59,8.2,34.39,21.5,0.29,49.71,47.6,4.69,2.11,0.0,0.23
2443,Belgium,2006,390.897631232,93.23,83.07,2.23,6.85,33.46,21.99,0.36,49.61,46.65,4.62,2.96,0.0,0.37
2444,Belgium,2007,404.7355904,93.34,86.56,2.6,6.47,34.84,24.66,0.39,51.72,48.23,3.71,3.49,0.01,0.49
2445,Belgium,2008,408.314871808,93.41,82.81,3.33,5.55,32.82,24.11,0.41,49.99,45.57,3.16,4.42,0.04,0.64
2446,Belgium,2009,399.533047808,87.82,89.66,3.95,5.18,37.0,29.25,0.33,52.66,47.22,2.57,5.44,0.17,0.99
2447,Belgium,2010,412.203548672,93.42,92.87,4.38,4.2,38.39,30.84,0.31,54.48,47.94,3.35,6.54,0.56,1.29
2448,Belgium,2011,420.970561536,91.59,89.05,4.63,3.48,32.51,25.44,0.2,56.54,48.23,3.59,8.31,1.17,2.31
2449,Belgium,2012,421.100945408,91.36,81.42,5.24,3.39,30.62,23.57,0.36,50.8,40.29,3.66,10.51,2.15,2.76
2450,Belgium,2013,421.20413184,91.37,81.73,5.03,3.01,27.37,20.8,0.38,54.36,42.64,3.56,11.72,2.64,3.67
2451,Belgium,2014,428.582862848,88.54,70.94,4.41,2.09,25.03,19.34,0.29,45.91,33.7,3.6,12.21,2.89,4.62
2452,Belgium,2015,434.918719488,89.12,68.12,5.5,2.07,27.57,22.02,0.32,40.55,26.1,3.48,14.45,3.06,5.57
2453,Belgium,2016,439.359012864,90.14,83.96,5.36,0.39,26.19,22.08,0.37,57.77,43.52,3.72,14.25,3.1,5.42
2454,Belgium,2017,447.723831296,90.95,84.93,5.7,0.09,26.9,23.02,0.27,58.03,42.23,3.79,15.8,3.31,6.52
2455,Belgium,2018,454.384320512,90.85,73.52,5.41,0.09,27.75,23.99,0.29,45.77,28.6,3.67,17.17,3.9,7.57
3004,Brazil,2000,1734.491242496,385.58,342.58,7.41,10.31,28.87,3.84,301.36,313.71,4.94,14.72,308.77,0.0,0.0
3005,Brazil,2001,1780.379287552,361.02,323.17,8.5,10.43,35.16,9.34,265.2,288.01,14.27,15.39,273.74,0.0,0.04
3006,Brazil,2002,1857.599307776,376.85,340.29,9.69,8.61,33.47,11.71,283.23,306.82,13.84,13.15,292.98,0.0,0.06
3007,Brazil,2003,1902.060896256,397.08,358.89,11.29,8.52,31.58,12.39,302.56,327.31,13.4,10.67,313.91,0.0,0.06
3008,Brazil,2004,2036.566851584,418.56,381.18,11.81,9.79,40.12,18.18,317.59,341.06,11.6,12.15,329.46,0.0,0.06
3009,Brazil,2005,2127.880912896,434.76,395.72,12.83,10.04,39.52,17.69,334.08,356.2,9.2,11.79,347.0,0.0,0.09
3010,Brazil,2006,2239.74785024,453.09,411.93,13.99,9.86,39.4,17.21,345.32,372.53,12.98,12.33,359.55,0.0,0.24
3011,Brazil,2007,2405.103566848,476.0,437.17,16.97,9.47,37.64,14.56,370.27,399.53,11.65,13.61,387.88,0.0,0.64
3012,Brazil,2008,2559.006998528,496.89,454.68,18.85,11.4,55.92,27.42,365.86,398.76,13.21,17.1,385.55,0.0,0.84
3013,Brazil,2009,2587.477671936,498.65,458.67,21.81,9.5,36.32,12.71,387.08,422.35,12.22,14.11,410.13,0.0,1.24
3014,Brazil,2010,2816.706084864,545.43,510.78,30.52,10.79,61.02,34.85,403.29,449.76,13.77,15.38,435.99,0.0,2.18
3015,Brazil,2011,2965.069889536,563.29,527.4,31.29,12.08,50.28,24.06,428.33,477.12,14.8,14.14,462.32,0.0,2.7
3016,Brazil,2012,3022.025654272,587.42,547.16,34.39,13.91,77.21,44.96,415.34,469.95,15.17,18.34,454.78,0.0,5.05
3017,Brazil,2013,3112.905998336,603.81,563.48,39.27,21.06,111.99,66.14,390.99,451.49,14.65,24.79,436.84,0.0,6.58
3018,Brazil,2014,3128.572510208,615.65,581.87,45.15,25.8,136.59,77.75,373.44,445.28,14.46,33.04,430.82,0.02,12.21
3019,Brazil,2015,3270.706200576,605.99,571.57,47.54,25.72,128.85,75.76,359.74,442.72,13.91,27.37,428.81,0.06,21.47
3020,Brazil,2016,2889.037381632,612.19,571.4,49.14,24.58,93.06,54.07,380.91,478.34,14.97,14.41,463.37,0.08,33.24
3021,Brazil,2017,2926.999240704,617.51,581.16,50.6,21.85,101.9,62.72,370.91,479.26,14.86,17.33,464.4,0.83,42.06
3022,Brazil,2018,2965.401501696,629.12,594.14,52.13,19.94,86.69,52.36,388.97,507.45,14.79,14.39,492.66,3.44,48.12
3802,Canada,2000,1138.677121024,552.59,588.42,8.38,109.27,155.65,33.68,354.92,432.77,69.16,12.7,363.61,0.02,0.26
3803,Canada,2001,1162.073341952,550.06,572.36,9.1,105.1,160.02,39.79,329.99,412.34,72.86,15.13,339.48,0.02,0.34
3804,Canada,2002,1200.474947584,562.63,583.94,9.45,104.12,155.23,36.52,347.05,428.71,71.75,14.59,356.96,0.02,0.41
3805,Canada,2003,1225.605382144,566.65,572.39,8.85,102.9,157.44,36.37,334.07,414.95,71.15,18.17,343.8,0.02,0.83
3806,Canada,2004,1267.051659264,571.87,582.4,9.15,93.25,148.96,37.74,337.43,433.44,85.87,17.97,347.57,0.01,0.95
3807,Canada,2005,1311.262900224,582.61,606.46,8.83,99.24,150.88,35.58,358.3,455.58,86.83,16.06,368.75,0.02,1.57
3808,Canada,2006,1349.429624832,573.52,592.63,8.51,91.36,139.85,38.5,349.32,452.78,92.44,9.99,360.34,0.02,2.47
3809,Canada,2007,1381.19610368,582.02,612.97,8.31,98.43,149.5,39.77,363.91,463.47,88.19,11.3,375.28,0.03,3.01
3810,Canada,2008,1398.902882304,582.66,614.82,7.5,94.8,141.5,37.27,373.68,473.32,88.3,9.43,385.02,0.04,3.79
3811,Canada,2009,1361.508171776,561.52,595.14,8.3,78.64,129.98,42.02,364.96,465.16,85.13,9.32,380.03,0.1,6.64
3812,Canada,2010,1407.421775872,556.11,581.81,9.17,76.99,130.32,47.01,347.87,451.49,85.53,6.32,365.96,0.25,8.64
3813,Canada,2011,1455.579594752,574.97,611.53,9.04,70.71,131.54,55.34,371.97,479.99,88.29,5.49,391.7,0.57,10.09
3814,Canada,2012,1479.801044992,565.28,612.26,9.77,62.1,124.44,56.63,376.46,487.82,89.49,5.71,398.33,0.87,11.2
3815,Canada,2013,1514.897276928,586.84,637.72,9.88,63.17,123.12,53.99,387.87,514.6,97.58,5.96,417.02,1.48,17.78
3816,Canada,2014,1552.1972224,588.76,636.09,8.66,61.36,123.1,57.53,378.68,512.99,101.21,4.21,411.78,2.1,22.32
3817,Canada,2015,1565.171122176,576.78,638.96,9.11,59.27,125.85,62.02,378.37,513.11,96.05,4.56,417.06,2.87,26.7
3818,Canada,2016,1586.14683648,581.09,644.89,10.27,58.81,122.72,59.53,381.58,522.17,95.69,4.38,426.48,3.99,30.62
3819,Canada,2017,1636.443488256,582.56,644.71,9.9,55.78,113.85,54.58,390.64,530.86,95.57,3.49,435.29,3.54,31.2
3820,Canada,2018,1669.401542656,587.67,635.88,9.31,46.84,112.89,62.5,382.02,522.99,95.03,3.55,427.96,3.76,32.85
4434,China,2000,5952.682590208,1346.85,1355.6,2.54,1060.26,1113.3,5.77,222.41,242.3,16.74,47.27,225.56,0.02,0.59
4435,China,2001,6329.737412608,1472.19,1480.79,2.55,1129.14,1182.59,4.93,277.43,298.2,17.47,48.52,280.73,0.03,0.72
4436,China,2002,6814.49357312,1645.61,1654.01,2.55,1282.57,1337.47,4.19,287.97,316.54,25.13,50.71,291.41,0.05,0.84
4437,China,2003,7248.6223872,1903.22,1910.58,2.54,1519.97,1579.96,5.16,283.68,330.62,43.34,54.83,287.28,0.06,1.0
4438,China,2004,7830.953263104,2197.23,2203.31,2.53,1722.42,1795.41,7.46,353.54,407.9,50.47,65.53,357.43,0.08,1.28
4439,China,2005,8602.940080128,2494.08,2500.26,5.32,1980.15,2042.8,12.14,397.02,457.46,53.09,50.51,404.37,0.08,1.95
4440,China,2006,9489.543593984,2858.84,2865.72,7.13,2302.42,2364.16,23.82,435.79,501.56,54.84,37.92,446.72,0.09,3.71
4441,China,2007,10358.20597248,3271.23,3281.54,9.86,2656.7,2718.7,33.91,485.26,562.84,62.13,28.09,500.71,0.11,5.48
4442,China,2008,10799.14790912,3482.96,3495.76,14.87,2708.91,2762.29,34.57,636.96,733.47,68.39,18.81,665.08,0.15,13.1
4443,China,2009,11572.544012288,3703.26,3714.64,20.86,2911.52,2980.2,56.56,615.64,734.44,70.05,12.12,664.39,0.28,27.61
4444,China,2010,12858.80807424,4193.65,4207.16,24.9,3233.6,3346.04,77.73,711.38,861.12,74.74,34.71,786.38,0.7,49.4
4445,China,2011,13673.15841024,4700.28,4713.02,27.63,3690.87,3833.44,108.77,688.04,879.58,87.2,33.8,792.38,2.61,74.1
4446,China,2012,14358.127050752,4976.76,4987.54,30.13,3748.19,3889.66,110.25,862.79,1097.88,98.32,31.22,999.56,3.59,103.05
4447,China,2013,15304.425996288,5420.4,5431.63,37.13,4077.37,4226.76,116.39,909.61,1204.87,111.5,33.0,1093.37,8.37,138.26
4448,China,2014,16220.856254464,5783.04,5794.45,46.27,4203.06,4372.0,133.28,1059.69,1422.45,133.22,35.66,1289.23,23.51,159.76
4449,China,2015,16710.9459968,5802.14,5814.58,54.07,4046.17,4249.54,166.91,1114.52,1565.04,171.38,36.46,1393.66,39.48,185.59
4450,China,2016,17255.473610752,6120.44,6133.16,62.13,4156.35,4397.19,188.28,1153.27,1735.97,213.18,52.56,1522.79,66.53,240.86
4451,China,2017,17575.081672704,6591.39,6604.44,79.6,4430.03,4689.28,203.2,1165.06,1915.16,248.1,56.05,1667.06,117.8,304.6
4452,China,2018,18151.620214784,7150.92,7166.14,93.73,4763.92,5035.82,215.5,1198.89,2130.32,295.0,56.4,1835.32,176.9,365.8
4557,Colombia,2000,330.667819008,42.24,42.18,0.58,2.46,9.84,6.64,31.75,32.34,0.0,0.74,32.34,0.01,0.0
4558,Colombia,2001,336.149970944,42.3,42.47,0.61,2.66,10.37,7.27,31.48,32.1,0.0,0.44,32.1,0.01,0.0
4559,Colombia,2002,344.483168256,43.47,44.08,0.62,2.61,9.82,6.76,33.63,34.26,0.0,0.45,34.26,0.01,0.0
4560,Colombia,2003,357.898059776,44.49,45.6,0.62,3.06,9.16,5.64,35.81,36.44,0.0,0.46,36.44,0.01,0.0
4561,Colombia,2004,376.90589184,47.15,48.78,0.63,2.32,8.41,5.65,39.68,40.37,0.0,0.44,40.37,0.01,0.05
4562,Colombia,2005,394.523869184,47.6,49.34,0.66,2.63,9.22,5.95,39.4,40.12,0.0,0.64,40.12,0.01,0.05
4563,Colombia,2006,420.866916352,50.94,52.73,0.38,1.89,9.97,6.7,42.31,42.76,0.0,1.38,42.76,0.01,0.06
